country name,average urban population ratio,average life expectancy,sum of total population in all years,sum of urban population in all years
Liberia,0.5823486259677931,51.54545454545455,36374766,21182795
Libya,0.771118127614727,73.72727272727273,63644551,49077467
Lithuania,0.6687128208531232,71.9090909090909,37508089,25082140
Luxembourg,0.8288522281972882,79.18181818181819,5144899,4264361
Macao SAR China,1.0,79.72727272727273,5324867,5324867
Macedonia FYR,0.6541251791774424,73.72727272727273,22407257,14657151
Madagascar,0.28674325281268026,63.63636363636363,197427526,56611011
Malawi,0.17539383848139076,49.27272727272727,142164498,24934777
Malaysia,0.6752306057149551,73.0,286135580,193207501
Maldives,0.34193348539021085,73.9090909090909,3244400,1109369
Mali,0.30721283324062465,49.09090909090909,145619213,44736091
Malta,0.935899631745069,79.0,4431441,4147384
Marshall Islands,0.700652983458907,65.0,577350,404522
Mauritania,0.40601360906217904,57.27272727272727,33532509,13614655
Mauritius,0.4248986102560198,72.36363636363636,13634022,5793077
Mexico,0.7631168515367249,75.45454545454545,1172625169,894850027
Micronesia Fed Sts,0.224105351609247,67.9090909090909,1200779,269101
Moldova,0.4277142955639407,67.81818181818181,39566288,16923067
Mongolia,0.569036067137094,65.81818181818181,28195501,16044257
Montenegro,0.5999793894775912,74.18181818181819,6918796,4151135
Morocco,0.5503511132820466,70.36363636363636,334241984,183950448
Mozambique,0.3472016464706974,48.27272727272727,228513997,79340436
Myanmar,0.3082771853941768,63.0,510461745,157363710
Namibia,0.35257557919756954,59.09090909090909,22940704,8088332
Nepal,0.1589806727644083,65.36363636363636,299591681,47629287
Netherlands,0.8003183780719438,79.27272727272727,179266743,143470469
New Caledonia,0.6375496940223404,75.54545454545455,2559664,1631913
New Zealand,0.8624119883092572,79.81818181818181,45300800,39067953
Nicaragua,0.5598832786256328,71.9090909090909,59701833,33426058
Niger,0.1639960717237301,51.45454545454545,143935905,23604923
Nigeria,0.46353367587350225,48.81818181818182,1543382980,715409986
Norway,0.7706642416072873,79.9090909090909,51178953,39441789
Oman,0.7158462549009845,73.54545454545455,27173367,19451953
Pakistan,0.3507796438184863,64.18181818181819,1747621693,613030115
Palau,0.7674153861627859,69.5,218729,167856
Panama,0.7068335630029402,75.0909090909091,35614203,25173314
Papua New Guinea,0.12719489636641212,60.54545454545455,67156075,8541910
Paraguay,0.5856215722426397,71.18181818181819,64877149,37993458
Peru,0.7113765965473359,72.27272727272727,302724034,215350793
Philippines,0.6271105901034575,67.45454545454545,939587818,589225471
Poland,0.6147297662644637,75.0,420207306,258313939
Portugal,0.5759785808687539,77.81818181818181,115464627,66505152
Puerto Rico,0.9709991485636006,78.0909090909091,41738878,40528415
Qatar,0.954813534011508,77.18181818181819,10921965,10428440
Romania,0.5388730622461143,72.0,239005907,128793845
Russian Federation,0.7301131801383225,66.36363636363636,1579531291,1153236614
Rwanda,0.17000331210410005,51.63636363636363,102412240,17410420
Samoa,0.22541344601187324,70.9090909090909,1981093,446565
San Marino,0.9397923178355148,82.0,327616,307891
Sao Tome and Principe,0.5807429753870147,63.27272727272727,1681267,976384
Saudi Arabia,0.8154740630921994,72.63636363636364,262506620,214067340
Senegal,0.4174379994141037,57.36363636363637,120011003,50097153
Serbia,0.5163215955867907,72.9090909090909,81659939,42162790
Seychelles,0.5306815047937317,72.55555555555556,924645,490692
Sierra Leone,0.36982923952048175,43.81818181818182,55812680,20641161
Singapore,1.0,79.72727272727273,48782900,48782900
Slovak Republic,0.5639148246223091,74.0909090909091,59339731,33462554
Slovenia,0.49437459361257136,77.54545454545455,22103292,10927306
Solomon Islands,0.1716182274224589,65.27272727272727,5184123,889690
Somalia,0.3535057516326933,49.72727272727273,91953890,32506229
South Africa,0.5935806612703068,52.09090909090909,518515464,307780752
Spain,0.7679780866120831,80.36363636363636,476922694,366266178
Sri Lanka,0.1525825631446814,73.54545454545455,216289000,33001930
St Kitts and Nevis,0.32411391756896407,71.0,537055,174067
St Lucia,0.27818467013570763,73.45454545454545,1811836,504025
St Vincent and the Grenadines,0.4601388083760156,71.18181818181819,1195461,550078
Sudan,0.4089797198053296,59.36363636363637,337212838,137913212
Suriname,0.7391351047822838,68.9090909090909,5474351,4046285
Swaziland,0.24272325428254113,47.0,11254241,2731666
Sweden,0.8433118234153981,80.54545454545455,99799234,84161874
Switzerland,0.7338449039269529,81.0909090909091,82117308,60261368
Syrian Arab Republic,0.5330742180830201,74.9090909090909,201614275,107475372
Tajikistan,0.2645467108795359,65.54545454545455,71354790,18876675
Tanzania,0.24395059651611262,53.54545454545455,429819404,104854700
Thailand,0.32462317253610684,73.27272727272727,730995154,237297966
TimorLeste,0.26274666050268863,59.45454545454545,10850136,2850837
Togo,0.4008328782547331,55.45454545454545,59526347,23860117
Tonga,0.24149334629859723,71.45454545454545,1110660,268217
Trinidad and Tobago,0.12293435388831019,68.72727272727273,14477613,1779796
Tunisia,0.6536470185753022,73.63636363636364,110490800,72221982
Turkey,0.6728376765523963,71.81818181818181,749916046,504571770
Turkmenistan,0.47532785558024826,64.45454545454545,52346524,24881761
Uganda,0.12648113461266117,50.0,314428291,39769247
Ukraine,0.6768376295819571,68.27272727272727,519911213,351895473
United Arab Emirates,0.7783499598148764,75.63636363636364,51291369,39922635
United Kingdom,0.8973123444886263,78.9090909090909,664002880,595817981
United States,0.8077499207002786,77.45454545454545,3253012692,2627620744
Uruguay,0.9194719750782073,75.54545454545455,36502671,33563183
Uzbekistan,0.36913322905237905,67.27272727272727,289474400,106854620
Vanuatu,0.23683564647359479,69.36363636363636,2326491,550996
Venezuela RB,0.9212774431229284,73.45454545454545,292341000,269327169
Vietnam,0.2653259232948507,73.54545454545455,905699300,240305503
Virgin Islands US,0.9406704449134936,78.54545454545455,1203380,1131984
West Bank and Gaza,0.7172549602521247,71.72727272727273,38992776,27967762
Yemen Rep,0.291497751824169,62.63636363636363,228157866,66507505
Zambia,0.3515835867531647,44.63636363636363,126773162,44571363
Zimbabwe,0.35978852440647363,45.27272727272727,137981691,49644229
