region,average urban population ratio,average life expectancy
Europe,0.7167609321070492,76.05140291806961
The Americas,0.7864611957357663,73.22506493506492
Middle East,0.6592204259844021,73.04895104895104
Oceania,0.7057146049399262,70.37445887445888
Asia,0.3793012524728289,69.1283422459893
Africa,0.3804842345960764,55.45473251028807
