region,average urban population ratio,average life expectancy
Europe,0.7167555468766268,76.21786042240588
The Americas,0.786445253288155,73.22506493506492
Oceania,0.7053275341477815,70.37445887445887
Africa,0.3804842345960764,55.33123689727462
Asia,0.3793012524728289,69.1283422459893
Middle East,0.6592204259844021,73.04895104895105
