region,average urban population ratio,average life expectancy
Europe,0.71521890517,76.0514029181
The Americas,0.786283179638,73.2250649351
Middle East,0.659220425984,73.048951049
Oceania,0.70571460494,70.3744588745
Asia,0.379301252473,69.128342246
Africa,0.377161921046,55.4547325103
