country name,average urban population ratio,average life expectancy,sum of total population in all years,sum of urban population in all years
United Arab Emirates,0.778349959815,75.6363636364,51291369.0,39922635.0
United Kingdom,0.897312344489,78.9090909091,664002880.0,595817981.0
United States,0.8077499207,77.4545454545,3253012692.0,2627620744.0
Uruguay,0.919471975078,75.5454545455,36502671.0,33563183.0
Uzbekistan,0.369133229052,67.2727272727,289474400.0,106854620.0
Vanuatu,0.236835646474,69.3636363636,2326491.0,550996.0
"Venezuela, RB",0.921277443123,73.4545454545,292341000.0,269327169.0
Vietnam,0.265325923295,73.5454545455,905699300.0,240305503.0
Virgin Islands (U.S.),0.940670444913,78.5454545455,1203380.0,1131984.0
West Bank and Gaza,0.717254960252,71.7272727273,38992776.0,27967762.0
"Yemen, Rep.",0.291497751824,62.6363636364,228157866.0,66507505.0
Zambia,0.351583586753,44.6363636364,126773162.0,44571363.0
Zimbabwe,0.359788524406,45.2727272727,137981691.0,49644229.0
